Date,Price,Open,High,Low,Vol.,Change %
6/24/2020,"34,034.65","34,052.61","34,160.87","33,937.63",,-0.05%
6/23/2020,"34,052.61","33,737.92","34,072.97","33,737.92",,0.93%
6/22/2020,"33,737.92","33,438.95","33,794.87","33,071.36",,0.89%
6/19/2020,"33,438.94","33,539.85","33,699.92","33,369.91",,-0.30%
6/18/2020,"33,539.85","33,848.68","33,919.82","33,471.45",,-0.91%
6/17/2020,"33,848.68","34,019.12","34,396.38","33,775.76",,-0.50%
6/16/2020,"34,019.12","33,824.51","34,138.30","33,824.51",,0.58%
6/15/2020,"33,824.51","34,611.23","34,611.23","33,814.86",,-2.27%
6/12/2020,"34,609.09","35,128.58","35,128.58","34,503.94",,-1.48%
6/11/2020,"35,128.58","35,065.08","35,253.50","34,995.42",,0.18%
6/10/2020,"35,065.08","34,803.60","35,111.54","34,803.60",,0.75%
6/9/2020,"34,803.60","34,749.57","34,855.39","34,688.12",,0.16%
6/8/2020,"34,749.57","34,350.42","34,769.44","34,350.42",,1.16%
6/5/2020,"34,350.42","34,119.39","34,367.74","34,081.76",,0.68%
6/4/2020,"34,119.39","34,401.42","34,410.05","34,090.13",,-0.82%
6/3/2020,"34,401.42","34,408.05","34,657.73","34,354.87",,-0.02%
6/2/2020,"34,408.05","34,021.97","34,525.27","34,021.97",,1.13%
6/1/2020,"34,021.97","33,931.23","34,062.14","33,820.09",,0.27%
5/29/2020,"33,931.23","33,695.42","34,048.56","33,695.42",,0.70%
5/28/2020,"33,695.42","33,836.61","33,836.61","33,598.40",,-0.42%
5/21/2020,"33,836.61","33,932.81","34,049.00","33,757.37",,-0.28%
5/20/2020,"33,932.81","34,158.55","34,224.15","33,786.96",,-0.66%
5/19/2020,"34,158.55","33,804.97","34,350.78","33,804.97",,1.05%
5/18/2020,"33,804.97","34,008.33","34,393.12","33,770.68",,-0.60%
5/15/2020,"34,008.33","33,804.90","34,041.44","33,804.90",,0.60%
5/14/2020,"33,804.90","33,693.04","33,996.92","33,686.99",,0.33%
5/13/2020,"33,693.04","33,603.02","33,802.87","33,603.02",,0.27%
5/12/2020,"33,603.02","33,283.79","33,628.37","33,283.79",,0.96%
5/11/2020,"33,283.79","33,267.69","33,316.06","33,126.15",,0.05%
5/8/2020,"33,267.69","33,304.16","33,501.30","33,159.05",,-0.11%
5/7/2020,"33,304.16","33,728.18","33,811.36","33,238.88",,-1.26%
5/6/2020,"33,728.18","33,992.75","34,119.51","33,675.49",,-0.78%
5/5/2020,"33,992.75","33,916.64","34,385.76","33,857.83",,0.22%
5/4/2020,"33,916.64","34,111.64","34,163.92","33,709.34",,-0.57%
4/30/2020,"34,111.64","33,158.84","34,178.57","33,158.84",,2.87%
4/29/2020,"33,158.84","32,553.39","33,158.84","32,553.39",,1.86%
4/28/2020,"32,553.39","32,314.57","32,635.91","32,284.78",,0.74%
4/27/2020,"32,314.57","32,806.38","32,806.38","32,131.08",,-1.50%
4/24/2020,"32,806.38","32,850.83","33,069.17","32,739.84",,-0.14%
4/23/2020,"32,850.83","32,464.23","32,938.29","32,448.53",,1.19%
4/22/2020,"32,464.23","32,422.83","32,640.17","31,893.57",,0.13%
4/21/2020,"32,422.83","33,499.65","33,499.65","32,300.73",,-3.21%
4/20/2020,"33,499.65","32,831.83","33,857.54","32,831.83",,2.03%
4/17/2020,"32,831.83","31,329.46","33,257.15","31,329.46",,4.80%
4/16/2020,"31,329.46","31,242.19","31,447.22","31,016.41",,0.28%
4/15/2020,"31,242.19","31,222.74","31,795.18","31,181.76",,0.06%
4/14/2020,"31,222.74","31,032.99","31,395.75","30,941.07",,0.61%
4/13/2020,"31,032.99","32,033.21","32,033.21","30,928.16",,-3.12%
4/10/2020,"32,033.20","31,837.30","32,086.10","31,377.10",,0.62%
4/9/2020,"31,837.30","30,971.27","32,009.12","30,971.27",,2.80%
4/8/2020,"30,971.27","31,231.55","31,238.35","30,775.45",,-0.83%
4/7/2020,"31,231.55","30,579.15","31,303.13","30,579.15",,2.13%
4/6/2020,"30,579.15","31,621.79","31,915.41","30,503.27",,-3.30%
