Date,Price,Open,High,Low,Vol.,Change %,Daily_Return,Volatility_30d
2025-02-21,112800.93,114441.59,114444.01,112813.87,216950000.0,-0.82,-0.82489619230528,0.9003113698284981
2025-02-24,114330.1,112700.1,114573.68,111857.34,214100000.0,1.36,1.3556359863345246,0.9287605626585136
2025-02-25,114528.09,114900.47,115889.6,114178.56,290830000.0,0.17,0.17317399355025742,0.9158747089776655
2025-02-26,113862.33,114580.4,114762.93,113849.93,333210000.0,-0.58,-0.5813071710180417,0.9172624642905739
2025-02-27,113784.31,114045.13,114456.92,113729.53,207290000.0,-0.07,-0.0685213450313249,0.9161440036856783
2025-02-28,113251.67,113890.68,114265.97,113201.84,231450000.0,-0.47,-0.46811374960220586,0.9140920780994234
2025-03-03,111986.89,113498.58,113591.83,111829.15,108000000.0,-1.12,-1.116787063713942,0.90282797712591
2025-03-04,112743.8,112106.68,112877.02,111717.17,101170000.0,0.68,0.6758916155275019,0.9074372234567215
2025-03-05,112253.76,112952.94,113327.12,112146.1,152190000.0,-0.43,-0.43464917804793,0.9027005202283671
2025-03-06,113713.18,112506.52,113871.22,112446.01,240890000.0,1.3,1.3001078983902126,0.9014830808026251
2025-03-07,114398.7,114169.2,114721.58,114169.2,233230000.0,0.6,0.6028500829895034,0.9031426589761127
2025-03-10,114356.34,114432.8,115048.42,114152.31,165910000.0,-0.04,-0.03702839280516068,0.8927296985516198
2025-03-11,114177.66,114180.1,114486.2,113610.31,171980000.0,-0.16,-0.15624844236882263,0.8654841867770567
2025-03-12,114084.54,114503.4,114661.89,114001.5,128440000.0,-0.08,-0.08155711020878531,0.8283762438311015
2025-03-13,115094.24,114429.93,115247.4,114429.93,210930000.0,0.89,0.8850454233325644,0.834820041295412
2025-03-14,115536.17,115705.29,115730.98,115162.69,205480000.0,0.38,0.3839722995694572,0.7919805613073985
2025-03-17,116199.59,116012.73,116626.83,115883.22,286470000.0,0.57,0.5742097907521115,0.7813827276388194
2025-03-18,117001.09,116657.45,117202.1,116490.82,274470000.0,0.69,0.6897614698984755,0.7441854442989461
2025-03-19,117974.03,117198.36,118243.63,116882.8,301110000.0,0.83,0.831564902515014,0.7373059615898928
2025-03-20,118769.77,118525.01,119421.81,118444.04,401600000.0,0.67,0.6745043803284556,0.6740775535927319
2025-03-21,118442.18,119078.91,119405.92,118334.4,172210000.0,-0.28,-0.2758193435922429,0.6796815415334126
2025-03-24,116439.62,118797.7,118797.7,116257.52,167110000.0,-1.69,-1.6907490220122612,0.7514130608898556
2025-03-25,116633.17,116375.71,116904.55,115877.88,158060000.0,0.17,0.1662234899083348,0.7092887581785705
2025-03-26,117772.31,117935.8,118220.88,117178.23,231390000.0,0.98,0.9766861348276867,0.7257414677838018
2025-03-27,117806.75,118037.7,118147.25,117551.42,193470000.0,0.03,0.029242867020262686,0.7208573463340263
2025-04-03,118938.11,117873.59,119179.46,117508.07,201030000.0,0.96,0.9603524416045728,0.7268012372312898
2025-04-04,118791.66,119155.22,120796.67,118718.26,313410000.0,-0.12,-0.1231312654959793,0.7231903883281998
2025-04-07,114909.49,117601.62,117601.62,110103.98,389420000.0,-3.27,-3.2680492889820667,0.939184410565299
2025-04-08,115532.43,115800.77,116692.29,115560.91,338910000.0,0.54,0.5421136235135959,0.9429134903872538
2025-04-09,114153.16,115092.12,115092.12,112891.49,267600000.00000003,-1.19,-1.1938379552823286,0.9687746104715914
2025-04-10,116189.21,117094.15,117484.17,116130.9,391050000.0,1.78,1.7836124729267322,1.0069440031065964
2025-04-11,114853.33,115937.38,115937.38,114639.92,250710000.0,-1.15,-1.1497453162819582,1.00341471688828
