Date,Price,Open,High,Low,Vol.,Change %,Log_Return,SPY_Log_Return,EEM_Log_Return,VIX_Level,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window
7/17/2025,138665.5,"136,674.98","138,943.47","136,674.98",299.28M,1.68%,0.016619671,0.003337686,0.004713649,17.15999985,-0.219999313,1,0,0,0
7/18/2025,138597.36,"139,600.23","140,585.39","138,343.73",256.32M,-0.05%,-0.000491519,0.006100993,0.005708418,16.52000046,-0.63999939,1,0,0,0
7/21/2025,138217.58,"139,142.17","139,201.16","138,149.56",221.76M,-0.27%,-0.002743929,-0.000732641,-0.002238652,16.40999985,-0.11000061,3,1,0,0
7/22/2025,139419.63,"138,197.81","139,901.78","138,197.81",245.77M,0.87%,0.008659196,0.001894399,0.006498761,16.64999962,0.239999771,1,0,0,0
7/23/2025,139254.36,"139,966.08","140,202.19","139,105.05",193.42M,-0.12%,-0.001186117,0.000143112,0.000607075,16.5,-0.149999619,1,0,0,0
7/24/2025,138692.67,"139,501.61","139,867.83","138,614.09",272.66M,-0.40%,-0.004041711,0.008471423,0.010064517,15.36999989,-1.130000114,1,0,0,0
7/25/2025,139207.3,"138,876.06","139,436.77","138,808.64",190.96M,0.37%,0.003703711,0.000331064,-0.005422223,15.39000034,0.020000458,1,0,0,0
7/28/2025,139380.06,"139,759.59","140,149.23","139,195.84",213.99M,0.12%,0.001240257,0.004215461,-0.003025203,14.93000031,-0.460000038,3,1,0,0
7/29/2025,137964.81,"139,733.06","140,331.02","137,636.38",212.75M,-1.02%,-0.010205794,-0.000251122,-0.006687554,15.02999973,0.099999428,1,0,0,0
7/30/2025,138412.25,"138,141.59","139,018.88","137,658.81",167.69M,0.32%,0.003237898,-0.002641081,0.000406594,15.97999954,0.949999809,1,0,0,0
7/31/2025,139390.42,"139,379.14","140,215.22","139,083.73",291.21M,0.71%,0.007042222,-0.001260173,-0.007344024,15.47999954,-0.5,1,0,0,0
8/1/2025,141034.98,"139,634.91","141,160.94","138,957.70",304.55M,1.18%,0.011729172,-0.003758319,-0.005749444,16.71999931,1.239999771,1,0,0,0
8/4/2025,142052.66,"141,962.94","142,323.34","141,440.48",349.23M,0.72%,0.007189889,-0.016526212,-0.007441095,20.37999916,3.659999847,3,1,0,0
8/5/2025,143037.17,"142,235.70","143,281.34","142,235.70",262.32M,0.69%,0.006906693,0.015085524,0.01031995,17.52000046,-2.859998703,1,0,0,0
