Date,Log_Return,SPY_Log_Return,EEM_Log_Return,VEA_Close_Log_Return,VIX_Change,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window,USDPKR_Log_Return,annual_gdp_growth,EMA_crossover,RSI_OB,RSI_OS,MACD_Hist,True_Range,kibor_rate_change_5,kibor_rate_change_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,days_since_high_63,drawdown_252,target_next_log_return
2025-05-08,-0.060731744,0.004196623,-0.011581402,-0.0033694620089331335,-1.210000992,0,0,0,0.0004269605359695673,2.7,0.0,0.0,1.0,-1086.8456381171934,10282.119999999995,-0.6799999999999997,-0.6999999999999993,-0.03134213876716352,-0.00467764699448503,-0.00010252910380625924,-0.03086561080324224,-0.010168001698888984,24.0,-0.12957402803861595,0.03462894391438283
2025-05-09,0.034628944,0.00694374,-0.000672271,0.006541439401587667,-1.069999695,0,1,1,-0.0007921367757368411,2.7,0.0,0.0,0.0,-1101.6653944808586,5120.62999999999,-0.6300000000000008,-0.6600000000000001,-0.05892434466516061,-0.03134213876716352,-0.00467764699448503,0.025037686417745064,-0.018821141869796,25.0,-0.09890412753321876,0.09025574989741714
2025-05-12,0.09025575,-0.001275162,0.00670246,0.004831793903460884,-0.579999924,1,0,1,0.0008865319377169813,2.7,0.0,0.0,0.0,-399.159430238053,10153.14,-0.6400000000000006,-0.6500000000000004,0.035235507088887674,-0.05892434466516061,-0.03134213876716352,-0.00010252910380625924,0.003908282937671093,26.0,-0.013791878818319891,0.010837774149981013
2025-05-13,0.010837774,0.032513179,0.021368818,0.0016671330109324697,-3.510000229,0,0,1,-0.001635735064585548,2.7,0.0,0.0,0.0,152.572871143081,3207.1900000000023,0.0,-0.6500000000000004,0.09445415445295646,0.035235507088887674,-0.05892434466516061,-0.00467764699448503,-0.012171628228616616,27.0,-0.003045449435845282,-0.0003319944215619129
2025-05-14,-0.000331994,0.006582197,0.001742053,-0.004080076240472828,-0.170000076,0,0,0,0.0070230489348148215,2.7,0.0,0.0,0.0,496.45164981224434,1311.8899999999994,0.019999999999999574,-0.6400000000000006,0.010896715563037729,0.09445415445295646,0.035235507088887674,-0.03134213876716352,0.007086203435092031,28.0,-0.003376377848950174,0.011953092616113062
2025-05-15,0.011953093,0.001277225,0.007586549,0.010537109823577237,0.400001526,0,0,0,-0.003389231146480451,2.7,1.0,0.0,0.0,784.3699445953982,1453.770000000004,-0.009999999999999787,-0.6699999999999999,-0.0003319393175121865,0.010896715563037729,0.09445415445295646,-0.05892434466516061,-0.03086561080324224,0.0,0.0,-0.002610649030084489
2025-05-16,-0.002610649,0.004872456,-0.000431939,0.0022042428231814895,-0.790000916,0,0,0,0.0026784556674824623,2.7,1.0,0.0,0.0,909.4077293084245,965.0299999999988,-0.03999999999999915,-0.6799999999999997,0.012024816316117848,-0.0003319393175121865,0.010896715563037729,0.035235507088887674,0.025037686417745064,1.0,-0.002607244249445584,0.0003383488632975731
2025-05-19,0.000338349,0.006313952,-0.000648385,0.008040954001733056,-0.590000153,1,0,0,-0.0027513400064869856,2.7,1.0,0.0,0.0,946.2719822904312,1034.87000000001,-0.049999999999998934,-0.6999999999999993,-0.002607244249445584,0.012024816316117848,-0.0003319393175121865,0.09445415445295646,-0.00010252910380625924,2.0,-0.002269720447098611,-0.006021116925110791
2025-05-20,-0.006021117,0.001093346,0.002159397,0.004721311433485105,0.899999619,0,0,0,0.0022669337755200024,2.7,1.0,0.0,0.0,875.3445748122397,1373.2900000000081,-0.049999999999998934,-0.6999999999999993,0.00033840610973046026,-0.002607244249445584,0.012024816316117848,0.010896715563037729,-0.00467764699448503,3.0,-0.008259121582842366,0.00803955430141247
2025-05-21,0.008039554,-0.003367847,-0.001079073,-0.005449590795144883,-0.049999237,0,0,0,-0.0027201324765195613,2.7,1.0,0.0,0.0,845.717495928082,1135.0800000000017,-0.049999999999998934,-0.6999999999999993,-0.006003026327343508,0.00033840610973046026,-0.002607244249445584,-0.0003319393175121865,-0.03134213876716352,4.0,-0.0002538305700534593,-0.006511695660378171
